iter	Passed	Remaining
0	144	144163
1	150	75115
2	156	52053
3	161	40320
4	164	32715
5	166	27654
6	169	24056
7	172	21328
8	174	19204
9	176	17510
10	179	16111
11	181	14945
12	184	13978
13	186	13141
14	188	12393
15	190	11695
16	191	11074
17	192	10526
18	194	10020
19	195	9560
20	196	9145
21	197	8768
22	198	8430
23	199	8117
24	200	7829
25	201	7560
26	202	7312
27	204	7084
28	205	6869
29	206	6669
30	207	6483
31	208	6309
32	209	6146
33	210	5992
34	211	5844
35	213	5711
36	214	5581
37	215	5458
38	216	5339
39	217	5228
40	218	5121
41	220	5021
42	221	4924
43	222	4831
44	223	4742
45	224	4656
46	225	4574
47	226	4496
48	228	4426
49	229	4355
50	230	4285
51	231	4220
52	232	4157
53	233	4094
54	234	4035
55	235	3977
56	236	3920
57	238	3866
58	239	3814
59	240	3762
60	241	3713
61	242	3668
62	243	3623
63	244	3579
64	245	3536
65	247	3500
66	248	3459
67	249	3419
68	250	3381
69	251	3342
70	252	3305
71	253	3270
72	254	3236
73	255	3202
74	257	3172
75	258	3140
76	259	3109
77	260	3078
78	261	3049
79	262	3021
80	263	2992
81	264	2965
82	265	2932
83	266	2906
84	267	2880
85	268	2855
86	269	2831
87	270	2807
88	272	2787
89	273	2765
90	274	2742
91	275	2720
92	276	2698
93	277	2676
94	278	2656
95	279	2636
96	281	2616
97	282	2598
98	283	2579
99	284	2560
100	285	2541
101	286	2525
102	287	2507
103	289	2491
104	290	2474
105	291	2457
106	292	2440
107	293	2424
108	294	2408
109	295	2392
110	296	2376
111	297	2361
112	298	2345
113	299	2331
114	300	2316
115	302	2303
116	303	2287
117	304	2273
118	305	2260
119	306	2246
120	307	2233
121	308	2219
122	309	2206
123	310	2193
124	311	2181
125	312	2168
126	313	2155
127	314	2143
128	315	2132
129	317	2121
130	318	2110
131	319	2099
132	320	2089
133	321	2079
134	323	2070
135	324	2060
136	325	2049
137	326	2039
138	327	2029
139	328	2019
140	329	2009
141	330	1997
142	331	1988
143	333	1979
144	334	1971
145	335	1962
146	336	1953
147	337	1944
148	338	1935
149	339	1926
150	341	1917
151	342	1909
152	343	1900
153	344	1892
154	345	1884
155	346	1876
156	347	1868
157	349	1860
158	350	1852
159	351	1844
160	352	1835
161	353	1827
162	354	1819
163	355	1812
164	356	1804
165	357	1797
166	358	1789
167	359	1782
168	361	1776
169	362	1769
170	363	1762
171	364	1755
172	365	1748
173	366	1741
174	367	1734
175	369	1728
176	370	1721
177	371	1715
178	372	1708
179	373	1701
180	375	1696
181	376	1693
182	378	1689
183	379	1684
184	381	1679
185	382	1674
186	383	1668
187	384	1662
188	386	1656
189	387	1650
190	388	1645
191	389	1639
192	390	1634
193	391	1628
194	393	1622
195	394	1616
196	395	1611
197	396	1605
198	397	1600
199	398	1594
200	399	1589
201	400	1583
202	401	1578
203	403	1573
204	404	1569
205	405	1564
206	406	1559
207	408	1553
208	409	1548
209	410	1543
210	411	1538
211	412	1533
212	413	1528
213	414	1523
214	415	1518
215	417	1514
216	418	1509
217	419	1504
218	420	1499
219	421	1495
220	422	1490
221	423	1485
222	425	1481
223	426	1476
224	427	1471
225	428	1467
226	429	1462
227	430	1457
228	431	1453
229	432	1449
230	434	1444
231	435	1440
232	436	1436
233	437	1432
234	438	1427
235	439	1423
236	440	1419
237	441	1414
238	442	1410
239	444	1406
240	445	1402
241	446	1397
242	447	1393
243	448	1389
244	449	1385
245	450	1382
246	452	1378
247	453	1373
248	454	1369
249	455	1366
250	456	1362
251	457	1358
252	458	1354
253	459	1350
254	460	1346
255	462	1342
256	463	1338
257	464	1334
258	465	1331
259	466	1327
260	467	1324
261	468	1320
262	469	1316
263	471	1313
264	472	1309
265	473	1305
266	474	1302
267	475	1298
268	476	1295
269	477	1291
270	478	1288
271	480	1285
272	481	1281
273	482	1277
274	483	1274
275	484	1271
276	485	1267
277	486	1264
278	487	1261
279	489	1257
280	490	1254
281	491	1250
282	492	1247
283	493	1243
284	494	1240
285	495	1237
286	496	1234
287	497	1231
288	499	1227
289	500	1224
290	501	1221
291	503	1220
292	504	1218
293	506	1215
294	507	1212
295	508	1209
296	509	1206
297	510	1203
298	511	1200
299	512	1196
300	514	1193
301	515	1190
302	516	1187
303	517	1185
304	518	1182
305	519	1179
306	521	1176
307	522	1173
308	523	1170
309	524	1167
310	525	1164
311	526	1161
312	527	1158
313	528	1155
314	530	1152
315	531	1149
316	532	1147
317	533	1144
318	534	1141
319	535	1138
320	536	1135
321	537	1132
322	538	1129
323	540	1127
324	541	1124
325	542	1121
326	543	1118
327	544	1116
328	545	1113
329	547	1110
330	548	1107
331	549	1105
332	550	1102
333	551	1099
334	552	1097
335	553	1094
336	555	1091
337	556	1089
338	557	1086
339	558	1083
340	559	1081
341	560	1078
342	561	1076
343	563	1073
344	564	1071
345	565	1068
346	566	1065
347	567	1063
348	568	1060
349	569	1058
350	570	1055
351	572	1053
352	573	1050
353	574	1047
354	575	1045
355	576	1042
356	577	1040
357	578	1037
358	579	1035
359	580	1032
360	581	1030
361	583	1027
362	584	1025
363	585	1023
364	586	1020
365	587	1018
366	589	1016
367	590	1013
368	591	1011
369	592	1009
370	594	1007
371	595	1004
372	596	1002
373	597	1000
374	598	997
375	599	995
376	600	992
377	601	990
378	603	988
379	604	985
380	605	983
381	606	981
382	607	978
383	608	976
384	609	974
385	610	971
386	612	969
387	613	967
388	614	965
389	615	962
390	616	960
391	617	958
392	618	955
393	620	953
394	621	951
395	622	949
396	623	946
397	624	944
398	625	942
399	626	939
400	627	937
401	629	935
402	630	933
403	631	931
404	632	929
405	633	926
406	634	924
407	635	922
408	636	920
409	637	918
410	639	915
411	640	913
412	641	911
413	642	909
414	643	907
415	644	905
416	645	902
417	646	900
418	648	898
419	649	896
420	650	894
421	651	892
422	652	890
423	653	888
424	654	886
425	656	883
426	657	881
427	658	879
428	659	877
429	660	875
430	661	873
431	662	871
432	663	869
433	665	867
434	666	865
435	667	863
436	668	861
437	669	858
438	670	856
439	671	854
440	672	852
441	673	850
442	675	848
443	676	846
444	677	844
445	678	842
446	679	840
447	680	838
448	681	836
449	682	834
450	683	832
451	685	830
452	686	828
453	687	826
454	688	824
455	689	822
456	690	820
457	691	818
458	693	816
459	694	814
460	695	812
461	696	810
462	697	808
463	698	806
464	699	805
465	700	803
466	702	801
467	703	799
468	704	797
469	705	795
470	706	793
471	707	791
472	708	789
473	709	787
474	710	785
475	712	783
476	713	781
477	714	780
478	715	778
479	716	776
480	718	775
481	719	773
482	720	771
483	721	769
484	722	767
485	723	765
486	724	763
487	726	761
488	727	759
489	728	758
490	729	756
491	730	754
492	732	752
493	734	752
494	735	750
495	737	749
496	738	747
497	739	745
498	740	743
499	741	741
500	742	739
501	743	738
502	745	736
503	746	734
504	747	732
505	748	730
506	749	729
507	750	727
508	751	725
509	753	723
510	754	721
511	755	719
512	756	718
513	757	716
514	758	714
515	759	712
516	760	710
517	762	709
518	763	707
519	764	705
520	765	703
